address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
3814 Lincoln Ave,Oakland,CA,94602,37.802946,-122.210481,2,1652,898800,1.015287715,1.091857164,0.012499228
3711 Maybelle Ave # B,Oakland,CA,94619,37.790294,-122.194176,2,1073,565000,1.017147328,1.763083377,0.260873995
1740 Lake St,San Francisco,CA,94121,37.786233,-122.478507,3,2298,2850000,1.096773069,1.813381768,0.271373407
2854 25th St,San Francisco,CA,94110,37.751518,-122.407394,2,677,649000,0.60774746,0.924291541,0.280974841
795 Lakeshore Dr,Redwood City,CA,94065,37.537697,-122.243475,2,1892,1398000,0.890591201,1.285185776,0.091763283
292 Belleview Dr,San Leandro,CA,94577,37.732464,-122.165644,2,1128,625000,0.773378554,1.587530748,0.225411319
154 Westdale Ave,Daly City,CA,94015,37.706712,-122.48161,3,1700,1280000,0.690504446,1.851345066,0.158113867
3846 25th St,San Francisco,CA,94114,37.750407,-122.426197,3,1854,2760000,0.441494309,0.278341134,0.207512908
218 Headlands Ct,Sausalito,CA,94965,37.877469,-122.518676,2,1225,869000,1.09567944,1.242332612,0.307817929
223 Byxbee St,San Francisco,CA,94132,37.718331,-122.470117,2,812,849888,0.855849616,1.019323633,0.323238463
2609 Inyo Ave,Oakland,CA,94601,37.792274,-122.227086,3,739,459500,1.103231003,1.586868607,0.144661137
5400 College Ave,Oakland,CA,94618,37.840392,-122.251103,0,4431,2900000,0.298470676,1.923353419,0.362278612
1343 Shelter Creek Ln,San Bruno,CA,94066,37.619843,-122.428366,1,680,489000,1.103809539,1.951452649,0.373675912
238 Cuardo Ave,Millbrae,CA,94030,37.603825,-122.387224,3,1896,1195000,0.248779001,1.956628182,0.063408234
28 Warford Ter,Orinda,CA,94563,37.881447,-122.175835,3,2421,1475000,0.252639764,1.972296782,0.373675912
3316-3320 Scott St,San Francisco,CA,94123,37.800557,-122.440956,6,3939,5500000,0.480054922,1.199570936,0.378827258
1997 Ascot Dr APT C,Moraga,CA,94556,37.858963,-122.128439,2,1124,499950,0.891514488,1.981175143,0.381824082
488 Spruce St,Berkeley,CA,94708,37.901841,-122.271019,5,3172,1695000,1.111432977,1.98393111,0.055650335
2031 45th Ave,San Francisco,CA,94116,37.748641,-122.504357,3,1300,1095000,1.113165894,1.985639506,0.395150932
1049 Shell Blvd APT 6,Foster City,CA,94404,37.549809,-122.263172,2,1042,798000,1.123458952,2.0128702,0.24784466
3721 Carter Dr APT 2208,South San Francisco,CA,94080,37.644985,-122.468181,2,1040,799000,1.129432068,2.043484775,0.309115872
317 Hunter Ave,Oakland,CA,94603,37.73222,-122.183626,2,774,345000,1.149373817,2.048592046,0.273911552
"280 Spear Street #7B Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,1293,1595000,0.245731873,0.784433544,0.326959345
3206 Champion St,Oakland,CA,94602,37.796986,-122.215759,2,728,569000,0.471275034,1.661466647,0.286169729
280 Caldecott Ln UNIT 320,Oakland,CA,94618,37.858345,-122.221749,1,773,499000,0.941557893,1.936235436,0.294577747
1240 Hawes St,San Francisco,CA,94124,37.728279,-122.382214,5,1923,988000,1.015287715,2.064515612,0.355653265
34 Weepingridge Ct,San Mateo,CA,94402,37.529606,-122.332488,2,1520,1200000,1.157553312,2.065535057,0.371414168
2030 Mezes Ave,Belmont,CA,94002,37.521503,-122.296923,3,1840,1998000,1.129092985,2.099008522,0.302015762
2314 Legion Ave,Oakland,CA,94605,37.763747,-122.177851,2,1108,520000,1.16068305,2.099652088,0.181487024
1645 Pacific Ave APT 4D,San Francisco,CA,94109,37.794657,-122.422325,2,1402,2349000,1.054378703,0.319027121,0.357535562
615 Silver Ave,San Francisco,CA,94134,37.728986,-122.423517,2,862,899900,0.630108937,1.541659267,0.396151011
1632 81st Ave,Oakland,CA,94621,37.757525,-122.177091,3,1376,477777,1.119172859,1.635494703,0.256249295
